year,id,dist,passen,fare,conc
1999,82,516,535,100,91.44000244
2000,82,516,439,132,91.41999817
1997,83,761,204,193,73.31999969
1998,83,761,249,177,78.51000214
1999,83,761,218,206,75.87999725
2000,83,761,254,204,71.62000275
1997,84,822,185,222,66.37000275
1998,84,822,229,214,73.58999634
1999,84,822,206,224,72.98000336
2000,84,822,205,232,71.83000183
1997,85,1902,183,274,59.68999863
1998,85,1902,216,265,60.81000137
1999,85,1902,267,236,39.34999847
2000,85,1902,221,286,53.25000381
1997,86,403,1700,112,81.98999786
1998,86,403,2011,113,75.95999908
1999,86,403,1943,125,67.48999786
2000,86,403,1982,133,65.84999847
1997,87,665,2047,130,57.41999817
1998,87,665,2129,125,52.92999649
1999,87,665,2251,121,60.98999786
2000,87,665,2318,129,58.77000046
1997,88,1587,710,259,56.58000183
1998,88,1587,674,275,62.77000427
1999,88,1587,683,295,58.09999847
2000,88,1587,716,284,60.50999832
1997,89,526,527,216,51.33000183
1998,89,526,580,214,52.79999924
1999,89,526,573,218,54.38000107
2000,89,526,803,137,46.56999969
1997,90,2173,327,272,69.94999695
1998,90,2173,341,286,70.25
1999,90,2173,311,310,66.86000061
2000,90,2173,353,320,67.94000244
1997,91,904,224,274,79.31999969
1998,91,904,197,269,81.37000275
1999,91,904,175,250,77.58000183
2000,91,904,230,230,83.43000031
1997,92,356,1091,144,67.43000031
1998,92,356,1297,110,70.18000031
1999,92,356,1441,103,65.45999908
2000,92,356,1411,117,55.26999664
1997,93,481,436,230,94.61000061
1998,93,481,721,115,75.80000305
1999,93,481,552,175,90.27999878
2000,93,481,535,194,94.26999664
1997,94,750,211,206,78.55000305
1998,94,750,211,193,82.80999756
1999,94,750,163,218,76.51999664
2000,94,750,193,197,80.61000061
1997,95,2094,190,272,67.01000214
1998,95,2094,229,248,65.43000031
1999,95,2094,218,285,50
2000,95,2094,244,305,58.79999924
1997,96,1590,433,241,75.86000061
1998,96,1590,487,240,70.66000366
1999,96,1590,467,252,65.47000122
2000,96,1590,530,234,62.95000458
1997,97,874,368,203,71.95999908
1998,97,874,396,201,81.34999847
1999,97,874,435,196,75.63999939
2000,97,874,418,224,72.98000336
1997,98,1892,440,268,64.16999817
1998,98,1892,436,298,67.90000153
1999,98,1892,485,296,57.06000519
2000,98,1892,523,303,64.81999969
1997,99,2139,1185,306,63.48000336
1998,99,2139,1045,341,67.69999695
1999,99,2139,1081,361,59.79000473
2000,99,2139,1237,370,63.84999847
1997,100,2117,265,344,61.16999817
1998,100,2117,258,357,56.88000488
1999,100,2117,291,366,54.91999817
2000,100,2117,372,407,57.61000061
1997,101,1920,276,359,63.15000153
1998,101,1920,293,357,63.77000046
1999,101,1920,284,358,58.81000137
2000,101,1920,341,347,59.66999435
1997,102,215,351,90,89.04000092
1998,102,215,439,87,68.97000122
1999,102,215,478,79,74.11000061
2000,102,215,453,97,74.87000275
1997,103,2183,578,272,56.54000092
1998,103,2183,562,314,66.69999695
1999,103,2183,532,318,56.54000092
2000,103,2183,607,343,60.29999924
1997,104,483,647,203,49.81000137
1998,104,483,674,200,49.61999893
1999,104,483,660,209,51.31999969
2000,104,483,707,226,49.36999893
1997,105,794,184,222,75.97000122
1998,105,794,197,192,80.31999969
1999,105,794,190,206,74.94000244
2000,105,794,198,202,77.08000183
1997,106,406,1768,114,80.73000336
1998,106,406,1894,113,78.83999634
1999,106,406,1875,126,74.04000092
2000,106,406,1769,135,69.47000122
1997,107,674,213,202,79.01999664
1998,107,674,239,187,79.48000336
1999,107,674,213,194,78.47000122
2000,107,674,188,233,75.45999908
1997,108,264,135,103,58.07999802
1998,108,264,195,80,75.61000061
1999,108,264,225,95,74.13999939
2000,108,264,217,112,68.09999847
1997,109,540,2546,174,73.84999847
1998,109,540,3175,145,71.66999817
1999,109,540,3568,131,51.52000046
2000,109,540,3195,185,56.06999969
1997,110,545,686,115,85.04000092
1998,110,545,628,127,97.37000275
1999,110,545,583,156,97.58999634
2000,110,545,557,159,96.94000244
1997,111,274,163,62,93.84999847
1998,111,274,10,190,94.56999969
1999,111,274,4,206,88.88999939
2000,111,274,5,241,95.83000183
1997,112,406,168,56,95.79000092
1998,112,406,118,67,96.76999664
1999,112,406,80,84,96.73000336
2000,112,406,3,252,100
1997,113,506,167,58,97.77999878
1998,113,506,84,64,97.94000244
1999,113,506,4,159,81.81999969
2000,113,506,2,228,70.58999634
1997,114,977,268,83,98.45999908
1998,114,977,387,109,99.19000244
1999,114,977,394,121,99.48000336
2000,114,977,365,119,99.34999847
1997,115,466,190,37,100
1998,115,466,66,83,98.36000061
1999,115,466,123,86,100
2000,115,466,130,88,99.83000183
1997,116,852,219,75,96.43000031
1998,116,852,332,108,98.45999908
1999,116,852,444,111,99.08999634
2000,116,852,377,114,99.33999634
1997,117,1342,210,162,30.57999992
1998,117,1342,224,175,35.70999908
1999,117,1342,293,177,31.78000069
2000,117,1342,436,183,52.47999954
1997,118,1695,291,241,62.58000183
1998,118,1695,264,240,55.55999756
1999,118,1695,238,350,48.72000122
2000,118,1695,252,378,36.95999908
1997,119,972,520,180,61.18999863
1998,119,972,557,191,64.48000336
1999,119,972,604,207,58.88000107
2000,119,972,645,246,56.34000397
1997,120,183,1910,77,71.16000366
1998,120,183,2077,76,51.79000092
1999,120,183,2070,82,59.50000381
2000,120,183,2035,95,77.83999634
1997,121,769,269,203,48.38000107
1998,121,769,289,243,55.61000061
1999,121,769,309,265,51.04000092
2000,121,769,413,266,57.72000122
1997,122,525,373,109,92.94999695
1998,122,525,348,121,95.41000366
1999,122,525,382,116,89.91000366
2000,122,525,353,125,94.13999939
1997,123,280,200,65,94.56999969
1998,123,280,197,71,98.44999695
1999,123,280,198,67,97.30000305
2000,123,280,208,74,98.54000092
1997,124,152,975,76,75.69999695
1998,124,152,910,80,76.58999634
1999,124,152,921,78,71.58999634
2000,124,152,963,83,70.68000031
1997,125,1085,505,112,61.08000183
1998,125,1085,433,134,67.23000336
1999,125,1085,498,136,72.68000031
2000,125,1085,484,150,71.51000214
1997,126,1238,344,180,40.90999985
1998,126,1238,396,182,57.77000046
1999,126,1238,520,169,48.90000153
2000,126,1238,506,197,44.47999954
1997,127,335,292,81,95.33999634
1998,127,335,284,89,95.68000031
1999,127,335,284,90,95.75
2000,127,335,290,95,95.16000366
1997,128,290,198,79,97.19000244
1998,128,290,155,86,97.12000275
1999,128,290,179,86,97.01999664
2000,128,290,163,90,98.19999695
1997,129,754,201,109,71
1998,129,754,208,120,76.48000336
1999,129,754,251,121,74.05000305
2000,129,754,257,141,77.76000214
1997,130,446,188,116,54.42000198
1998,130,446,191,129,62.66999817
1999,130,446,212,128,62.75999451
2000,130,446,215,141,67.73000336
1997,131,1509,554,267,45.72000122
1998,131,1509,530,283,40.38999939
1999,131,1509,619,346,42.95000076
2000,131,1509,679,373,43.75
1997,132,996,230,146,42.63999939
1998,132,996,236,152,39.59000015
1999,132,996,270,159,35.09999847
2000,132,996,285,171,41.43999863
1997,133,868,552,134,50.40000153
1998,133,868,459,136,51.40999985
1999,133,868,568,138,46.65000153
2000,133,868,580,147,51.45000076
1997,134,1163,221,150,28.63000107
1998,134,1163,235,157,33.13000107
1999,134,1163,240,166,33.20999908
2000,134,1163,305,179,51.27999878
1997,135,1501,255,207,36.59000015
1998,135,1501,239,208,40.54999924
1999,135,1501,297,226,37.18999863
2000,135,1501,346,238,39.77999878
1997,136,1471,477,238,80.68000031
1998,136,1471,513,210,87.83000183
1999,136,1471,567,244,79.41999817
2000,136,1471,684,278,80.37000275
1997,137,1764,171,198,34.20000076
1998,137,1764,197,188,33.02000046
1999,137,1764,212,199,25.72999954
2000,137,1764,246,219,24.45000076
1997,138,718,211,159,56.88000488
1998,138,718,189,164,57.79999924
1999,138,718,210,176,45.97000122
2000,138,718,217,191,46.81999969
1997,139,1308,340,227,52.74999619
1998,139,1308,352,211,42.52000046
1999,139,1308,336,291,36.15000153
2000,139,1308,305,347,30.54999924
1997,140,682,391,100,69.63999939
1998,140,682,417,97,78.11000061
1999,140,682,460,103,78.47000122
2000,140,682,481,112,80.59999847
1997,141,370,854,131,95.25
1998,141,370,703,142,96.47000122
1999,141,370,708,142,96.30000305
2000,141,370,697,150,96.26999664
1997,142,360,240,248,94.05999756
1998,142,360,276,241,93.5
1999,142,360,275,237,95.02999878
2000,142,360,264,258,91.79000092
1997,143,611,2634,101,40.13000107
1998,143,611,2698,103,40.45000076
1999,143,611,2706,106,36.84000015
2000,143,611,2613,120,36.91999817
1997,144,430,142,256,88.27999878
1998,144,430,174,226,80.11000061
1999,144,430,153,257,82.16999817
2000,144,430,192,225,69.87000275
1997,145,314,1144,72,50.87000275
1998,145,314,1071,67,38.95999908
1999,145,314,1355,61,39.31000137
2000,145,314,1333,68,39.34999847
1997,146,337,112,146,50.68000031
1998,146,337,116,173,46.09999847
1999,146,337,93,134,40.52000046
2000,146,337,53,183,39.18000031
1997,147,1217,499,269,69.44999695
1998,147,1217,482,278,72.16000366
1999,147,1217,504,267,65.56999969
2000,147,1217,554,320,61.18000031
1997,148,1491,351,245,68.77999878
1998,148,1491,590,229,68.62000275
1999,148,1491,703,236,64.65000153
2000,148,1491,587,254,57.5
1997,149,408,757,102,92.87999725
1998,149,408,1134,96,62.90000153
1999,149,408,928,113,76.23999786
2000,149,408,811,152,83.65000153
1997,150,925,911,118,49.33000183
1998,150,925,976,120,54.45999908
1999,150,925,1070,116,54.25999832
2000,150,925,1116,124,54.25
1997,151,921,123,145,53.83000183
1998,151,921,120,147,63.63999939
1999,151,921,102,158,52.83000565
2000,151,921,218,140,73.63999939
1997,152,283,248,149,97.11000061
1998,152,283,238,147,97.40000153
1999,152,283,703,72,70.45999908
2000,152,283,1202,62,70.41000366
1997,153,1235,868,175,60.00000381
1998,153,1235,751,181,56.25
1999,153,1235,873,182,55.31999969
2000,153,1235,939,198,52.68999863
1997,154,516,330,134,72.25
1998,154,516,192,136,50.90000153
1999,154,516,228,142,43.54000092
2000,154,516,463,106,67.75
1997,155,663,432,110,50.13999939
1998,155,663,521,103,53.68000412
1999,155,663,623,99,51.82999802
2000,155,663,646,103,54.90000153
1997,156,967,451,133,38.15999985
1998,156,967,538,132,61.54999542
1999,156,967,499,140,68.15000153
2000,156,967,477,153,69.68000031
1997,157,2107,548,158,27.21000099
1998,157,2107,651,167,44.31000137
1999,157,2107,1068,152,47.66999817
2000,157,2107,990,159,49.72999954
1997,158,2330,976,240,49.38000107
1998,158,2330,1068,223,45.09000015
1999,158,2330,1409,215,34.75999832
2000,158,2330,1440,218,41.63999939
1997,159,495,598,70,84.23000336
1998,159,495,637,76,88.61000061
1999,159,495,684,74,84.58000183
2000,159,495,684,77,87.70999908
1997,160,946,238,174,63.95999908
1998,160,946,430,139,69.90000153
1999,160,946,396,134,69.66000366
2000,160,946,411,142,67.84999847
1997,161,936,256,288,80.84999847
1998,161,936,314,277,81.73999786
1999,161,936,271,293,81.41000366
2000,161,936,300,278,76.26999664
1997,162,587,723,84,85.41999817
1998,162,587,823,85,89.04000092
1999,162,587,847,89,86.98000336
2000,162,587,1014,94,89.26000214
1997,163,998,462,129,48.13000107
1998,163,998,465,124,49.15999985
1999,163,998,577,120,53.27000046
2000,163,998,649,131,52.31999588
1997,164,182,507,149,56.84999847
1998,164,182,467,146,57.02999878
1999,164,182,470,152,56.83000183
2000,164,182,369,178,60.77999878
1997,165,1183,185,156,27.79999924
1998,165,1183,187,160,26.76000023
1999,165,1183,213,154,31.36000061
2000,165,1183,211,168,30.52000046
1997,166,1028,121,132,26.68000221
1998,166,1028,124,141,31.29000092
1999,166,1028,138,142,26.79000282
2000,166,1028,128,148,25.49000168
1997,167,2288,157,194,25.36000061
1998,167,2288,125,208,21.95000076
1999,167,2288,211,184,22.70999908
2000,167,2288,235,184,27.56999969
1997,168,787,1273,110,53.67000198
1998,168,787,1356,104,65.73000336
1999,168,787,1551,104,58.39999771
2000,168,787,1643,114,61.72999573
1997,169,1999,765,162,23.12000084
1998,169,1999,835,173,41.34999847
1999,169,1999,1059,164,42.90000153
2000,169,1999,1108,171,44.09000015
1997,170,2362,206,218,34.13999939
1998,170,2362,237,228,29.69000053
1999,170,2362,333,191,29.63999748
2000,170,2362,347,190,20.59000015
1997,171,328,1557,55,72.23999786
1998,171,328,1864,58,64.81999969
1999,171,328,1998,60,69.51000214
2000,171,328,2165,65,68.43000031
1997,172,1866,316,165,26.1099987
1998,172,1866,275,179,27.34000015
1999,172,1866,342,161,30.28000069
2000,172,1866,354,178,29.14999962
1997,173,1408,314,177,25.22999954
1998,173,1408,347,176,41.59000015
1999,173,1408,450,155,48.04000092
2000,173,1408,403,172,47.11000061
1997,174,2297,552,183,20.72999954
1998,174,2297,584,193,18.52000046
1999,174,2297,680,185,16.04999924
2000,174,2297,764,193,19.18000031
1997,175,2458,737,271,41.63000107
1998,175,2458,832,252,41.75999832
1999,175,2458,1053,256,37.02000046
2000,175,2458,1107,255,45.09000015
1997,176,2441,310,182,30.34000015
1998,176,2441,265,194,33.02000046
1999,176,2441,303,220,26.70000267
2000,176,2441,340,240,22.93000031
1997,177,2337,479,190,25.52000046
1998,177,2337,510,204,27.96999741
1999,177,2337,570,199,21.29999924
2000,177,2337,589,209,22.97999954
1997,178,737,1057,108,55.01999664
1998,178,737,1058,115,62.56999969
1999,178,737,942,107,55.25999832
2000,178,737,1083,129,47.54000092
1997,179,842,888,115,57.41999817
1998,179,842,984,110,63.84999847
1999,179,842,1226,103,60.28000259
2000,179,842,1143,116,57.59999847
1997,180,883,243,138,81.19999695
1998,180,883,147,143,69.81999969
1999,180,883,326,125,90.23999786
2000,180,883,239,150,89.08000183
1997,181,383,224,104,72.19000244
1998,181,383,224,106,63.73000336
1999,181,383,184,121,53.15000534
2000,181,383,173,154,54.77000046
1997,182,253,141,146,97.54000092
1998,182,253,118,155,98.98999786
1999,182,253,109,185,98.01000214
2000,182,253,84,241,97.27999878
1997,183,570,430,123,54.07000351
1998,183,570,444,128,55.15000153
1999,183,570,469,123,55.63999939
2000,183,570,434,135,63.43000031
1997,184,597,224,198,52.15999985
1998,184,597,279,161,50.41000366
1999,184,597,286,163,44.38000107
2000,184,597,262,185,43.88999939
1997,185,626,143,159,33.49000168
1998,185,626,178,152,61.26999664
1999,185,626,175,149,69.61000061
2000,185,626,183,163,66.98000336
1997,186,570,354,118,56.91999817
1998,186,570,334,129,59.54000473
1999,186,570,324,131,53.04000473
2000,186,570,364,131,56.02999878
1997,187,1818,149,208,23.94000053
1998,187,1818,170,197,21.86000061
1999,187,1818,198,184,38.79999924
2000,187,1818,179,206,38.47999954
1997,188,321,377,68,94.73000336
1998,188,321,376,69,96.06999969
1999,188,321,387,65,96.94000244
2000,188,321,394,72,96.30999756
1997,189,862,259,261,55.90000153
1998,189,862,283,255,64.23000336
1999,189,862,381,208,35.66999817
2000,189,862,368,212,42.16999817
1997,190,478,219,88,70.37000275
1998,190,478,274,97,73.05999756
1999,190,478,255,102,72.08000183
2000,190,478,377,108,49.66999817
1997,191,411,152,112,45.25
1998,191,411,122,116,41.59000015
1999,191,411,198,100,51.40000153
2000,191,411,143,123,60.40999985
1997,192,460,273,94,76.77999878
1998,192,460,277,102,79.37999725
1999,192,460,302,98,81.18000031
2000,192,460,311,101,80.91999817
1997,193,937,186,119,90.55000305
1998,193,937,140,118,76.69000244
1999,193,937,146,128,85.26999664
2000,193,937,119,138,74.05999756
1997,194,650,172,210,67.15000153
1998,194,650,190,196,76.79000092
1999,194,650,175,230,76.51999664
2000,194,650,199,240,72.83999634
1997,195,520,244,86,86.22000122
1998,195,520,226,95,84.79000092
1999,195,520,248,96,88.52999878
2000,195,520,265,99,87.98000336
1997,196,675,217,110,43.40000153
1998,196,675,214,121,51.27000046
1999,196,675,280,118,55.27999878
2000,196,675,312,124,53.99000168
1997,197,736,213,119,51.25
1998,197,736,212,124,51.51000214
1999,197,736,242,132,53.24000168
2000,197,736,279,121,56.38000488
1997,198,344,674,69,59.43000412
1998,198,344,742,68,54.61000061
1999,198,344,738,71,59.45999527
2000,198,344,729,78,61.54999542
1997,199,335,141,64,97.45999908
1998,199,335,151,71,96.26000214
1999,199,335,147,71,98.44999695
2000,199,335,162,72,98.38999939
1997,200,291,356,58,55.95999908
1998,200,291,360,70,54.42000198
1999,200,291,404,64,50.47000122
2000,200,291,405,69,50.5
1997,201,522,281,122,95.12000275
1998,201,522,281,125,95.16999817
1999,201,522,259,126,94.80000305
2000,201,522,225,143,95.30999756
1997,202,399,779,69,53.3900032
1998,202,399,888,69,56.91999817
1999,202,399,904,68,50.11000061
2000,202,399,831,80,51
